HarmonizedScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abies,EOL,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,x
Abies religiosa,not recognized,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies religiosa
Acacia schaffneri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia schaffneri
Acalypha,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,x
Acalypha indica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha indica
Acer,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,x
Acer macrophyllum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer macrophyllum
Acheta domesticus,ITIS,species,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus
Acrididae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,x,x
Actitis macularius,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
Agave havardiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave havardiana
Agave lecheguilla,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave lecheguilla
Aidemona,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aidemona,x
Aizoaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,x,x
Alnus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,x
Alydidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,x,x
Alydus,ITIS,genus,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydus,x
Amara,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,x
Amaranthaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,x,x
Amblypygi,ITIS,order,Animalia,Arthropoda,Euchelicerata,Amblypygi,x,x,x
Amelanchier,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,x
Ammospermophillus leucurus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophillus,Ammospermophillus leucurus
Ammospermophilus insularis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus insularis
Ammospermophilus leucurus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus
Amphispiza bilineata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,Amphispiza bilineata
Anacardiaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,x,x
Aneides,ITIS,genus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,x
Animalia,ITIS,kingdom,Animalia,x,x,x,x,x,x
Anniella pulchra,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anniella,Anniella pulchra
Annona muricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona muricata
Anthicus dilaticollis,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Anthicus,Anthicus dilaticollis
Anthomyiidae,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,x,x
Antigonon leptopus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,Antigonon leptopus
Antrozous pallidus,ITIS,species,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidae,Antrozous,Antrozous pallidus
Anura,ITIS,order,Animalia,Chordata,Amphibia,Anura,x,x,x
Aphididae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,x,x
Apidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x
Apis mellifera,ITIS,species,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
Apoidea,ITIS,superfamily,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x
Arachis hypogaea,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
Arachnida,ITIS,subclass,Animalia,Arthropoda,Euchelicerata,x,x,x,x
Aralia humilis,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia pubescens
Aralia humilis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia humilis
Aranae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araeneae,x,x,x
Aranea,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araeneae,x,x,x
Araneae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araneae,x,x,x
Araneidae,ITIS,family,Animalia,Arthropoda,Euchelicerata,Araneae,Araneidae,x,x
Arbutus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,x
Arcostaphylos patula,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos patula
Arctostaphylos,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,x
Arctostaphylos manzanita ssp. elegans,ITIS,subspecies,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos manzanita
Arctostaphylos pungens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos pungens
Arecaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Arecales ,Arecaceae,x,x
Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x
Asilidae ,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Asilidae ,x,x
Aspidocelis,EOL,genus,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,x
Astacoidea,ITIS,superfamily,Animalia,Arthropoda,Malacostraca,Decapoda,x,x,x
Asteraceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,x,x
Atractus trihedrurus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Attractus,Atractus trihedrurus
Atta cephalotes,ITIS,species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes
Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x
Baiomys musculus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys musculus
Baiomys taylori,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys taylori
Bassariscus astutus,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus
Batrachoseps gregarius,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps gregarius
Batrachoseps kawia,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps kawia
Batrachoseps regius,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps regius
Batrachoseps simatus,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps simatus
Berberis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,x
Bidens,EOL,genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,x
Bidens pilosa,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens odotara
Bidens serrulata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens serrulata
Blattidae,ITIS,family,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,x,x
Blattodea,ITIS,order,Animalia,Arthropoda,Insecta,Blattodea,x,x,x
Bone,ITIS,phylum,Animalia,Chordata,x,x,x,x,x
Bourreria sonorae,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Bourreriea,Bourreria sonorae
Bouvardia ternifolia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Bouvardia,Bouvardia ternifolia
Brachystola magna,ITIS,species,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae ,Brachystola,Brachystola magna
Braconidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,x,x
Brassica,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,x
Brogniartia intermedia,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Brogniartia,Brogniartia intermedia
Bryophyta,ITIS,phylum,Plantae,Bryophyta,x,x,x,x,x
Bubo virginianus,ITIS,species,Animalia,Chordata,Aves,Strigiformes,Stridae,Bubo,Bubo virginianus
Bufonidae,ITIS,family,Animalia,Chordata,Amphibia,Anura,Bufonidae,x,x
Bursera,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bersera,x
Bursera hindsiana,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bersera,Bursera hindsiana
Burseraceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,x,x
Buthidae,ITIS,family,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,x,x
Cactacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactacea,x,x
Cactaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,x,x
Caelifera,ITIS,suborder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x
Calliandra eriophylla,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra eriophylla
Callicarpa americana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,Callicarpa americana
Callisaurus draconoides,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Callisarus,Callisaurus draconoides
Callospermophilus lateralis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis
Calocedrus decurrens,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Calocedrus,Calocedrus decurrens
Cambarus,ITIS,genus,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambarus,x
Camponotus,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,x
Campylorhynchus brunneicapillus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus
Capra hircus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus
Caprinus capra,ITIS,species,Animalia,Chordata,Mammalia,,,Carpinus,Carpinus capra
Capsicum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,x
Carabidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,x,x
Cardinalidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,x,x
Cardinalis cardinalis,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis
Carpinus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,x
Castela peninsularis,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Castela,Castela peninsularis
Cathartes aura,ITIS,species,Animalia,Chordata,Aves,Accipitriformes,Carthatridae,Carthartes,Cathartes aura
Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x
Celtis occidentalis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis
Celtis pallida,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pallida
Celtis reticulata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis reticulata
Cerambycidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,x,x
Chaetodipus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,x
Chaetodipus formosus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus formosus
Chaetodipus intermedius,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus intermedius
Chaetodipus spinatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromydae,Chaetodipus,Chaetodipus spinatus
Chalcididae ,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae ,x,x
Chamaecrista greggii var. macdougaliana,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista greggii var. macdougaliana
Charina,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Charinidae,Charina,x
Chilomeniscus stramineus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Chilomeniscus,Chilomeniscus stramineus
Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x
Chordata,ITIS,phylum,Animalia,Chordata,x,x,x,x,x
Chrysina,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chrysina,x
Chrysomelidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,x,x
Cicadidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,x,x
Cnemidophorus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,x
Cnemidophorus tigris,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,Cnemidophorus tigris
Coccinellidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,x,x
Cocculus carolinus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Menispermacea,Cocculus,Cocculus carolinus
Colaptes,ITIS,genus,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,x
Colaptes auratus,ITIS,species,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus
Coleonyx variegatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,Coleonyx variegatus
Coleoptera,ITIS,order,Animalia,Arthropoda,Insecta,Coleoptera,x,x,x
Colinus virginianus,ITIS,species,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,Colinus virginianus
Coluber,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,x
Coluber lateralis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber lateralis
Colubridae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Colubridae,x,x
Colubrinae,ITIS,subfamily,Animalia,Chordata,Reptilia,Squamata,Colubridae,x,x
Commelinaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,x,x
Condalia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,x
Condalia globosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,Condalia globosa
Condalia mexicana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,Condalia mexicana
Contia tenuis,ITIS,species,Animalia,Chordata,Reptilia,Squm,Colubridae,Contia,Contia tenuis
Cordia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,x
Coreidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,x,x
Cornus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,x
Corynorhinus townsendii,ITIS,species,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,Corynorhinus townsendii
Crataegus mexicana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus mexicana
Crematogaster,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,x
Cricetidae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,x,x
Crotalus,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,x
Crotaphytus collaris,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,Crotaphytus collaris
Croton ehrenbergii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton ehrenbergii
Croton jucundus ,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton jucundus 
Crustacea,ITIS,subphylum,Animalia,Arthropoda,x,x,x,x,x
Cryptotis parva,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,Cryptotis parva
Cucujoidea,ITIS,superfamily,Animalia,Arthropoda,Insecta,Coleoptera,x,x,x
Cucurbita,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,x
Cucurbitaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,x,x
Cucurbitaceae sp,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,x,x
Curculionidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,x,x
Cyanocitta cristata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata
Cydnidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Cydnidae,x,x
Cylindropuntia imbricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia imbricata
Cyperaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,x,x
debris,not recognized,inorganic,x,x,x,x,x,x,x
Decapoda,ITIS,order,Animalia,Arthropoda,Malacostraca,Decapoda,x,x,x
Dermaptera,ITIS,order,Animalia,Arthropoda,Insecta,Dermaptera,x,x,x
Diadophis punctatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Diadophis,Diadophis punctatus
Dichotomius carolinus,ITIS,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dichotomius,Dichotomius carolinus
Didelphis virginiana,ITIS,species,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana
Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x
Diospyros ,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x
Diospyros texana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros texana
Diospyros virginiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros virginiana
Diplopoda,ITIS,class,Animalia,Arthropoda,Diplopoda,x,x,x,x
Dipodomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,x
Dipodomys merriami insularis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami insularis
Dipodomys ordii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii
Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis
Diptera,ITIS,order,Animalia,Arthropoda,Insecta,Diptera,x,x,x
Dolichovespula,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,x
Domestic animal food,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Echinocereus cinerascens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinocereus,Echinocereus cinerascens
Echinocerus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinocereus,x
Egretta caerulea,ITIS,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta caerulea
Ehretia anacua,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Ehretia,Ehretia anacua
Elateridae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,x,x
Eleodes,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,x
Elgaria,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,x
Elgaria coerulea,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria coerulea
Elgaria multicarinata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria multicarinata
Emberizidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Emberizidae,x,x
Encelia farinosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Encelia,Encelia farinosa
Ensatina escholtzi,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodintidae,Ensatina,Ensatina escholtzi
Ephedra,ITIS,genus,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,x
Eremobates,ITIS,genus,Animalia,Arthropoda,Euchelicerata,Solifugae,Eremobatidae,Eremobates,x
Ericaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Asteranae,Ericales,Ericaceae,x
Eriobotrya,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Eriobotrya,x
Eublapharidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,x,x
Eublepharidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,x,x
Eukaryote,ITIS,domain,x,x,x,x,x,x,x
Eumeces gilberti,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eumeces,Eumeces gilberti
Eumeces skiltonianus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eumeces,Eumeces skiltonianus
Euphorbia serpylifolia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia serpylifolia
Fabaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,x,x
Falco peregrinus,ITIS,species,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus
Felis catus,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Ferocactus histrix,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Ferocactus,Ferocactus histrix
Ferocactus histrix,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales ,Cactaceae,Ferocactus,Ferocactus histrix
Fiber,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Ficus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,x
Ficus carica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica
Ficus palmeri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus palmeri
Foil,not recognized,human-influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced,Human-Influenced
Forchamera watsonii,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Forchhammeria,Forchhammeria watsonii
Forestiera macrocarpa,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Forestiera,Forestiera macrocarpa
Forficula,ITIS,genus,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,x
Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x
Fragaria X ananassa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria X ananassa
Fringillidae,ITIS,family,Animalia,Chordata,Aves,Passeriformes,Fringillidae,x,x
Fulica americana,ITIS,species,Animalia,Chordata,Aves,Gruliformes,Rallidae,Fulica,Fulica americana
Gaillardia pulchella,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gaillardia,Gaillardia pulchella
Galliformes,ITIS,order,Animalia,Chordata,Aves,Galliformes,x,x,x
